Year,Belize District,Ambergis,Caye Caulker,Cayo ,Corozal,Orange Walk,Stann Creek,Placencia,Toledo,Other Islands,Belize total average
2001,$140.95 ,$204.31 ,$60.65,$130.67,$82.37,$129.22,$103.48,$143.12,$72.33,$148.93,$150.91
2002,$133.87,$229.15,$61.57,$132.84,$86.79,$131.37,$118.99,$180.83,$78.80,$142.34,$152.45
2003,$131.06,$239.67,$70.51,$147.88,$85.40,$133.79,$137.19,$211.82,$111.24,$157.37,$167.41
2004,$127.95,$270.75,$80.42,$156.01,$101.21,$132.60,$169.74,$250.48,$90.44,$150.39,$186.85
2005,$130.51,$266.27,$87.61,$179.67,$100.58,$136.85,$194.71,$281.50,$106.08,$159.78,$192.06
2006,$148.97,$283.42,$95.13,$181.26,$115.04,$135.43,$205.36,$283.11,$115.82,$173.12,$204.12
2007,$140.84,$287.60,$101.94,$170.97,$128.28,$131.56,$206.08,$308.63,$93.02,$192.33,$206.61
2008,$156.42,$338.47,$105.51,$193.31,$104.87,$132.77,$225.71,$301.05,$118.10,$239.66,$226.88
2009,$158.58,$335.15,$110.95,$190.15,$103.80,$118.14,$222.08,$285.76,$111.82,$206.67,$221.63
2010,$151.55,$335.00,$112.06,$189.73,$94.44,$112.87,$230.86,$246.25,$114.40,$205.86,$217.43
2011,$159.85,$358.34,$115.19,$198.25,$92.50,$104.18,$234.15,$262.47,$140.17,$213.74,$225.93
2012,$171.51,$401.32,$132.71,$234.77,$91.83,$128.94,$238.86,$274.31,$142.42,$236.24,$257.51
2013,$173.08,$397.72,$122.79,$207.34,$94.72,$125.41,$268.60,$300.78,$153.66,$216.98,$253.43
2014,$173.67,$464.94,$145.04,$221.75,$105.22,$136.31,$279.36,$317.93,$171.66,$258.90,285.41
2015,$169.12,$424.59,$149.61,$235.08,$117.02,$130.23,$266.82,$336.62,$205.55,$291.07,278.47
