Year,Belize District,Ambergis,Caye Caulker,Cayo ,Corozal,Orange Walk,Stann Creek,Placencia,Toledo,Other Islands,Grand Total
2001,1410,1007,31,576,53,64,391,176,32,212,3952
2002,1100,1116,67,624,123,73,470,120,40,180,3913
2003,1313,1110,64,736,88,69,515,244,41,167,4347
2004,1220,1212,71,800,105,60,642,274,24,195,4603
2005,1319,1356,78,997,91,60,1209,414,20,206,5750
2006,1366,1624,82,922,184,72,1239,511,67,147,6214
2007,1322,1990,89,1177,184,101,1057,391,105,164,6580
2008,1237,1887,91,1375,164,98,1079,434,137,212,6714
2009,1224,1763,106,1208,182,107,947,412,167,160,6276
2010,1214,1455,124,1185,167,95,901,416,168,138,5863
2011,2005,1791,148,1254,178,80,863,449,399,153,7320
2012,2007,2049,167,1334,194,82,1046,509,343,201,7932
2013,,,,,,,,,,,8042
2014,,,,,,,,,,,8653
2015,,,,,,,,,,,8663
2016,,,,,,,,,,,8945
